ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
COL11A2	collagen type XI alpha 2 chain(COL11A2)	Homo sapiens			GO:0001501~skeletal system development,GO:0001649~osteoblast differentiation,GO:0001894~tissue homeostasis,GO:0002062~chondrocyte differentiation,GO:0007605~sensory perception of sound,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0048705~skeletal system morphogenesis,GO:0051216~cartilage development,GO:0060021~palate development,GO:0060023~soft palate development,	GO:0005576~extracellular region,GO:0005581~collagen trimer,GO:0005592~collagen type XI trimer,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0005840~ribosome,GO:0031012~extracellular matrix,	GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0030020~extracellular matrix structural constituent conferring tensile strength,GO:0030674~protein binding, bridging,GO:0046872~metal ion binding,	IPR000885:Fibrillar collagen, C-terminal,IPR001791:Laminin G domain,IPR008160:Collagen triple helix repeat,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,	hsa04974:Protein digestion and absorption,	184840~Otospondylomegaepiphyseal dysplasia, autosomal dominant,215150~Otospondylomegaepiphyseal dysplasia, autosomal recessive,601868~Deafness, autosomal dominant 13,609706~Deafness, autosomal recessive 53,614524~Fibrochondrogenesis 2,		SM00038:COLFI,SM00210:TSPN,SM00282:LamG,		KW-0272~Extracellular matrix,KW-0964~Secreted,	KW-0209~Deafness,KW-0225~Disease variant,KW-0242~Dwarfism,KW-0757~Stickler syndrome,KW-1010~Non-syndromic deafness,	KW-0176~Collagen,KW-0677~Repeat,KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,	KW-0325~Glycoprotein,KW-0379~Hydroxylation,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DISULFID:Interchain,DOMAIN:Collagen-like 1,DOMAIN:Collagen-like 2,DOMAIN:Collagen-like 3,DOMAIN:Collagen-like 4,DOMAIN:Collagen-like 5,DOMAIN:Collagen-like 6,DOMAIN:Collagen-like 7,DOMAIN:Collagen-like 8,DOMAIN:Fibrillar collagen NC1,DOMAIN:Laminin G,DOMAIN:Laminin G-like,PROPEP:C-terminal propeptide,REGION:Disordered,REGION:Nonhelical region,REGION:Triple-helical region,
COL12A1	collagen type XII alpha 1 chain(COL12A1)	Homo sapiens			GO:0007155~cell adhesion,GO:0030199~collagen fibril organization,GO:0035987~endodermal cell differentiation,	GO:0005576~extracellular region,GO:0005581~collagen trimer,GO:0005595~collagen type XII trimer,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0070062~extracellular exosome,GO:1903561~extracellular vesicle,	GO:0030020~extracellular matrix structural constituent conferring tensile strength,	IPR001791:Laminin G domain,IPR002035:von Willebrand factor, type A,IPR003961:Fibronectin, type III,IPR008160:Collagen triple helix repeat,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR013783:Immunoglobulin-like fold,	hsa04974:Protein digestion and absorption,	616470~Ullrich congenital muscular dystrophy 2,616471~Bethlem myopathy 2,		SM00060:FN3,SM00210:TSPN,SM00327:VWA,	KW-0130~Cell adhesion,	KW-0272~Extracellular matrix,KW-0964~Secreted,	KW-0225~Disease variant,KW-0912~Congenital muscular dystrophy,	KW-0176~Collagen,KW-0677~Repeat,KW-0732~Signal,			KW-0325~Glycoprotein,KW-0379~Hydroxylation,KW-0654~Proteoglycan,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:O-linked (Xyl...) (chondroitin sulfate) serine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Collagen-like 1,DOMAIN:Collagen-like 2,DOMAIN:Collagen-like 3,DOMAIN:Collagen-like 4,DOMAIN:Fibronectin type-III,DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 10,DOMAIN:Fibronectin type-III 11,DOMAIN:Fibronectin type-III 12,DOMAIN:Fibronectin type-III 13,DOMAIN:Fibronectin type-III 14,DOMAIN:Fibronectin type-III 15,DOMAIN:Fibronectin type-III 16,DOMAIN:Fibronectin type-III 17,DOMAIN:Fibronectin type-III 18,DOMAIN:Fibronectin type-III 2,DOMAIN:Fibronectin type-III 3,DOMAIN:Fibronectin type-III 4,DOMAIN:Fibronectin type-III 5,DOMAIN:Fibronectin type-III 6,DOMAIN:Fibronectin type-III 7,DOMAIN:Fibronectin type-III 8,DOMAIN:Fibronectin type-III 9,DOMAIN:Laminin G-like,DOMAIN:VWFA,DOMAIN:VWFA 1,DOMAIN:VWFA 2,DOMAIN:VWFA 3,DOMAIN:VWFA 4,MOTIF:Cell attachment site,REGION:Disordered,REGION:Nonhelical region (NC1),REGION:Nonhelical region (NC2),REGION:Nonhelical region (NC3),REGION:Triple-helical region (COL1) with 2 imperfections,REGION:Triple-helical region (COL2) with 1 imperfection,
COL23A1	collagen type XXIII alpha 1 chain(COL23A1)	Homo sapiens			GO:0030198~extracellular matrix organization,	GO:0005581~collagen trimer,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0031012~extracellular matrix,	GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0030020~extracellular matrix structural constituent conferring tensile strength,GO:0042802~identical protein binding,	IPR008160:Collagen triple helix repeat,	hsa04974:Protein digestion and absorption,					KW-0472~Membrane,KW-1003~Cell membrane,		KW-0176~Collagen,KW-0677~Repeat,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,				COMPBIAS:Basic and acidic residues,COMPBIAS:Pro residues,DOMAIN:Collagen-like 1,DOMAIN:Collagen-like 2,DOMAIN:Collagen-like 3,DOMAIN:Collagen-like 4,DOMAIN:Collagen-like 5,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
CSF1	colony stimulating factor 1(CSF1)	Homo sapiens	88.Alternatively_Activated_APC,	h_etsPathway:METS affect on Macrophage Differentiation,h_inflamPathway:Cytokines and Inflammatory Response,h_LDLpathway:Low-density lipoprotein (LDL) pathway during atherogenesis,h_mspPathway:Msp/Ron Receptor Signaling Pathway,h_stemPathway:Regulation of hematopoiesis by cytokines,	GO:0001503~ossification,GO:0001780~neutrophil homeostasis,GO:0001954~positive regulation of cell-matrix adhesion,GO:0002158~osteoclast proliferation,GO:0002931~response to ischemia,GO:0003006~developmental process involved in reproduction,GO:0006954~inflammatory response,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007265~Ras protein signal transduction,GO:0008284~positive regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0010743~regulation of macrophage derived foam cell differentiation,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0010759~positive regulation of macrophage chemotaxis,GO:0030224~monocyte differentiation,GO:0030225~macrophage differentiation,GO:0030278~regulation of ossification,GO:0030316~osteoclast differentiation,GO:0030335~positive regulation of cell migration,GO:0032270~positive regulation of cellular protein metabolic process,GO:0032946~positive regulation of mononuclear cell proliferation,GO:0035702~monocyte homeostasis,GO:0038145~macrophage colony-stimulating factor signaling pathway,GO:0040018~positive regulation of multicellular organism growth,GO:0042117~monocyte activation,GO:0042476~odontogenesis,GO:0042488~positive regulation of odontogenesis of dentin-containing tooth,GO:0045087~innate immune response,GO:0045651~positive regulation of macrophage differentiation,GO:0045657~positive regulation of monocyte differentiation,GO:0045672~positive regulation of osteoclast differentiation,GO:0045860~positive regulation of protein kinase activity,GO:0046579~positive regulation of Ras protein signal transduction,GO:0048873~homeostasis of number of cells within a tissue,GO:0051247~positive regulation of protein metabolic process,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060611~mammary gland fat development,GO:0060763~mammary duct terminal end bud growth,GO:0061518~microglial cell proliferation,GO:0061519~macrophage homeostasis,GO:0097529~myeloid leukocyte migration,GO:1901215~negative regulation of neuron death,GO:1902228~positive regulation of macrophage colony-stimulating factor signaling pathway,GO:1904141~positive regulation of microglial cell migration,GO:1905523~positive regulation of macrophage migration,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016604~nuclear body,GO:0048471~perinuclear region of cytoplasm,GO:1990682~CSF1-CSF1R complex,	GO:0005125~cytokine activity,GO:0005157~macrophage colony-stimulating factor receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,	IPR008001:Macrophage colony stimulating factor-1,IPR009079:Four-helical cytokine-like, core,	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04060:Cytokine-cytokine receptor interaction,hsa04061:Viral protein interaction with cytokine and cytokine receptor,hsa04151:PI3K-Akt signaling pathway,hsa04380:Osteoclast differentiation,hsa04640:Hematopoietic cell lineage,hsa04668:TNF signaling pathway,hsa05010:Alzheimer disease,hsa05022:Pathways of neurodegeneration - multiple diseases,hsa05323:Rheumatoid arthritis,		PIRSF001948:macrophage colony-stimulating factor 1,		KW-0391~Immunity,KW-0395~Inflammatory response,KW-0399~Innate immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0202~Cytokine,KW-0339~Growth factor,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-0654~Proteoglycan,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:O-linked (GalNAc...) threonine,CARBOHYD:O-linked (Xyl...) (chondroitin sulfate) serine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DISULFID:Interchain,MUTAGEN:Missing: Produces biologically active protein which is secreted.,MUTAGEN:R->A: Does not affect production of 150-200 kDa subunit.,MUTAGEN:R->A: Loss of 43 kDa subunit.,MUTAGEN:S->A: Loss of chondroitin sulfate attachment.,REGION:Disordered,REGION:O-glycosylated at one site,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
CSF2	colony stimulating factor 2(CSF2)	Homo sapiens	88.Alternatively_Activated_APC,	h_dcPathway:Dendritic cells in regulating TH1 and TH2 Development,h_eosinophilsPathway:The Role of Eosinophils in the Chemokine Network of Allergy,h_erythPathway:Erythrocyte Differentiation Pathway,h_inflamPathway:Cytokines and Inflammatory Response,h_nktPathway:Selective expression of chemokine receptors during T-cell polarization,h_stemPathway:Regulation of hematopoiesis by cytokines,	GO:0001821~histamine secretion,GO:0001892~embryonic placenta development,GO:0006468~protein phosphorylation,GO:0006955~immune response,GO:0007259~JAK-STAT cascade,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0030099~myeloid cell differentiation,GO:0030223~neutrophil differentiation,GO:0030224~monocyte differentiation,GO:0030225~macrophage differentiation,GO:0030335~positive regulation of cell migration,GO:0032747~positive regulation of interleukin-23 production,GO:0034021~response to silicon dioxide,GO:0034405~response to fluid shear stress,GO:0038157~granulocyte-macrophage colony-stimulating factor signaling pathway,GO:0042045~epithelial fluid transport,GO:0042116~macrophage activation,GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein,GO:0043011~myeloid dendritic cell differentiation,GO:0045187~regulation of circadian sleep/wake cycle, sleep,GO:0045892~negative regulation of transcription, DNA-templated,GO:0070665~positive regulation of leukocyte proliferation,GO:0071222~cellular response to lipopolysaccharide,GO:0071803~positive regulation of podosome assembly,GO:0097011~cellular response to granulocyte macrophage colony-stimulating factor stimulus,GO:0097028~dendritic cell differentiation,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0030526~granulocyte macrophage colony-stimulating factor receptor complex,GO:0043231~intracellular membrane-bounded organelle,	GO:0005125~cytokine activity,GO:0005129~granulocyte macrophage colony-stimulating factor receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,	IPR000773:Granulocyte-macrophage colony-stimulating factor,IPR009079:Four-helical cytokine-like, core,	hsa04060:Cytokine-cytokine receptor interaction,hsa04630:JAK-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04650:Natural killer cell mediated cytotoxicity,hsa04657:IL-17 signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04668:TNF signaling pathway,hsa05131:Shigellosis,hsa05146:Amoebiasis,hsa05166:Human T-cell leukemia virus 1 infection,hsa05167:Kaposi sarcoma-associated herpesvirus infection,hsa05171:Coronavirus disease - COVID-19,hsa05202:Transcriptional misregulation in cancer,hsa05221:Acute myeloid leukemia,hsa05323:Rheumatoid arthritis,			SM00040:CSF2,		KW-0964~Secreted,		KW-0732~Signal,		KW-0202~Cytokine,KW-0339~Growth factor,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:O-linked (GalNAc...) serine,CARBOHYD:O-linked (GalNAc...) threonine; partial,
C1QL1	complement C1q like 1(C1QL1)	Homo sapiens			GO:0007626~locomotory behavior,GO:0016322~neuron remodeling,GO:0061743~motor learning,GO:0099558~maintenance of synapse structure,GO:1905806~regulation of synapse disassembly,	GO:0005581~collagen trimer,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0043083~synaptic cleft,GO:0044301~climbing fiber,GO:0098793~presynapse,	GO:0005102~receptor binding,GO:0005515~protein binding,	IPR001073:Complement C1q protein,IPR008160:Collagen triple helix repeat,IPR008983:Tumour necrosis factor-like domain,				SM00110:C1Q,		KW-0964~Secreted,		KW-0176~Collagen,KW-0732~Signal,				COMPBIAS:Pro residues,DOMAIN:C1q,DOMAIN:Collagen-like,REGION:Disordered,
C4BPA	complement component 4 binding protein alpha(C4BPA)	Homo sapiens			GO:0002456~T cell mediated immunity,GO:0006958~complement activation, classical pathway,GO:0009609~response to symbiotic bacterium,GO:0045087~innate immune response,GO:0045732~positive regulation of protein catabolic process,GO:0045959~negative regulation of complement activation, classical pathway,GO:1903027~regulation of opsonization,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0072562~blood microparticle,	GO:0003723~RNA binding,GO:0005515~protein binding,	IPR000436:Sushi/SCR/CCP,	hsa04610:Complement and coagulation cascades,hsa05133:Pertussis,			SM00032:CCP,	KW-0180~Complement pathway,KW-0391~Immunity,KW-0399~Innate immunity,	KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,KW-0768~Sushi,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Interchain (with beta chain),DOMAIN:Sushi,DOMAIN:Sushi 1,DOMAIN:Sushi 2,DOMAIN:Sushi 3,DOMAIN:Sushi 4,DOMAIN:Sushi 5,DOMAIN:Sushi 6,DOMAIN:Sushi 7,DOMAIN:Sushi 8,
CNTN2	contactin 2(CNTN2)	Homo sapiens			GO:0000226~microtubule cytoskeleton organization,GO:0001973~adenosine receptor signaling pathway,GO:0002023~reduction of food intake in response to dietary excess,GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007411~axon guidance,GO:0007413~axonal fasciculation,GO:0007612~learning,GO:0007628~adult walking behavior,GO:0010769~regulation of cell morphogenesis involved in differentiation,GO:0010954~positive regulation of protein processing,GO:0016485~protein processing,GO:0021853~cerebral cortex GABAergic interneuron migration,GO:0022010~central nervous system myelination,GO:0022604~regulation of cell morphogenesis,GO:0031133~regulation of axon diameter,GO:0031623~receptor internalization,GO:0045163~clustering of voltage-gated potassium channels,GO:0045444~fat cell differentiation,GO:0045665~negative regulation of neuron differentiation,GO:0048168~regulation of neuronal synaptic plasticity,GO:0048710~regulation of astrocyte differentiation,GO:0051649~establishment of localization in cell,GO:0060168~positive regulation of adenosine receptor signaling pathway,GO:0070593~dendrite self-avoidance,GO:0071205~protein localization to juxtaparanode region of axon,GO:0071206~establishment of protein localization to juxtaparanode region of axon,GO:0097090~presynaptic membrane organization,	GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0030424~axon,GO:0033268~node of Ranvier,GO:0043025~neuronal cell body,GO:0043194~axon initial segment,GO:0043209~myelin sheath,GO:0044224~juxtaparanode region of axon,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0098552~side of membrane,GO:0099025~anchored component of postsynaptic membrane,	GO:0005515~protein binding,GO:0030246~carbohydrate binding,GO:0042802~identical protein binding,GO:0043621~protein self-association,GO:0098632~protein binding involved in cell-cell adhesion,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,	hsa04514:Cell adhesion molecules,	615400~Epilepsy, myoclonic, familial adult, 5,		SM00060:FN3,SM00408:IGc2,SM00409:IG,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0887~Epilepsy,	KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0732~Signal,			KW-0325~Glycoprotein,KW-0336~GPI-anchor,KW-0449~Lipoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Fibronectin type-III,DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 2,DOMAIN:Fibronectin type-III 3,DOMAIN:Fibronectin type-III 4,DOMAIN:Ig-like,DOMAIN:Ig-like C2-type 1,DOMAIN:Ig-like C2-type 2,DOMAIN:Ig-like C2-type 3,DOMAIN:Ig-like C2-type 4,DOMAIN:Ig-like C2-type 5,DOMAIN:Ig-like C2-type 6,LIPID:GPI-anchor amidated asparagine,MOTIF:Cell attachment site,PROPEP:Removed in mature form,REGION:Disordered,
CBFB	core-binding factor subunit beta(CBFB)	Homo sapiens			GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000209~protein polyubiquitination,GO:0001649~osteoblast differentiation,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0030098~lymphocyte differentiation,GO:0030099~myeloid cell differentiation,GO:0043371~negative regulation of CD4-positive, alpha-beta T cell differentiation,GO:0043378~positive regulation of CD8-positive, alpha-beta T cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048469~cell maturation,GO:0060216~definitive hemopoiesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016020~membrane,GO:0016513~core-binding factor complex,	GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,	IPR003417:Core binding factor, beta subunit,		620099~Cleidocranial dysplasia 2,				KW-0539~Nucleus,	KW-0225~Disease variant,KW-0242~Dwarfism,KW-0656~Proto-oncogene,				KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,REGION:Disordered,SITE:Breakpoint for translocation to form CBF-beta-MYH11 oncogene in AML, subtype M4EO,
CRNN	cornulin(CRNN)	Homo sapiens			GO:0009408~response to heat,GO:0010468~regulation of gene expression,GO:0010838~positive regulation of keratinocyte proliferation,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051896~regulation of protein kinase B signaling,GO:0071345~cellular response to cytokine stimulus,GO:0098609~cell-cell adhesion,GO:1902808~positive regulation of cell cycle G1/S phase transition,	GO:0005737~cytoplasm,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0046914~transition metal ion binding,GO:0048306~calcium-dependent protein binding,	IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR013787:S100/CaBP-9k-type, calcium binding, subdomain,IPR018247:EF-Hand 1, calcium-binding site,IPR026792:Cornulin,				SM00054:EFh,SM01394:SM01394,		KW-0963~Cytoplasm,	KW-0225~Disease variant,		KW-0106~Calcium,KW-0479~Metal-binding,			COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:EF-hand,REGION:Disordered,
CRHR2	corticotropin releasing hormone receptor 2(CRHR2)	Homo sapiens			GO:0007166~cell surface receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0060291~long-term synaptic potentiation,GO:0071376~cellular response to corticotropin-releasing hormone stimulus,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0043679~axon terminus,	GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,GO:0008528~G-protein coupled peptide receptor activity,GO:0015056~corticotrophin-releasing factor receptor activity,GO:0017046~peptide hormone binding,GO:0043404~corticotropin-releasing hormone receptor activity,	IPR000832:GPCR, family 2, secretin-like,IPR001879:GPCR, family 2, extracellular hormone receptor domain,IPR003051:GPCR, family 2, corticotropin releasing factor receptor,IPR003053:GPCR, family 2, corticotropin releasing factor receptor, type 2,IPR017981:GPCR, family 2-like,IPR017983:GPCR, family 2, secretin-like, conserved site,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04934:Cushing syndrome,			SM00008:HormR,		KW-0472~Membrane,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G-protein coupled receptors family 2 profile 1,DOMAIN:G-protein coupled receptors family 2 profile 2,REGION:Disordered,SIGNAL:Not cleaved,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
CRYAB	crystallin alpha B(CRYAB)	Homo sapiens			GO:0001666~response to hypoxia,GO:0002088~lens development in camera-type eye,GO:0006457~protein folding,GO:0006936~muscle contraction,GO:0007021~tubulin complex assembly,GO:0007517~muscle organ development,GO:0009408~response to heat,GO:0010259~multicellular organism aging,GO:0010629~negative regulation of gene expression,GO:0010941~regulation of cell death,GO:0030308~negative regulation of cell growth,GO:0031109~microtubule polymerization or depolymerization,GO:0031333~negative regulation of protein complex assembly,GO:0032355~response to estradiol,GO:0032387~negative regulation of intracellular transport,GO:0042026~protein refolding,GO:0042542~response to hydrogen peroxide,GO:0043066~negative regulation of apoptotic process,GO:0043067~regulation of programmed cell death,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0045892~negative regulation of transcription, DNA-templated,GO:0050821~protein stabilization,GO:0051403~stress-activated MAPK cascade,GO:0060561~apoptotic process involved in morphogenesis,GO:0071480~cellular response to gamma radiation,GO:1905907~negative regulation of amyloid fibril formation,GO:2000378~negative regulation of reactive oxygen species metabolic process,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005764~lysosome,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0015630~microtubule cytoskeleton,GO:0030018~Z disc,GO:0030424~axon,GO:0031430~M band,GO:0032432~actin filament bundle,GO:0032991~macromolecular complex,GO:0043197~dendritic spine,GO:0043204~perikaryon,GO:0070062~extracellular exosome,GO:0097060~synaptic membrane,GO:0097512~cardiac myofibril,	GO:0001540~beta-amyloid binding,GO:0005198~structural molecule activity,GO:0005212~structural constituent of eye lens,GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0044877~macromolecular complex binding,GO:0046872~metal ion binding,GO:0051082~unfolded protein binding,	IPR001436:Alpha crystallin/Heat shock protein,IPR002068:Alpha crystallin/Hsp20 domain,IPR003090:Alpha-crystallin, N-terminal,IPR008978:HSP20-like chaperone,	hsa04141:Protein processing in endoplasmic reticulum,hsa04213:Longevity regulating pathway - multiple species,	608810~Myopathy, myofibrillar, 2,613763~Cataract 16, multiple types,613869~Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related,615184~Cardiomyopathy, dilated, 1II,	PIRSF036514:small heat shock protein, beta-1 type,			KW-0458~Lysosome,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0964~Secreted,	KW-0122~Cardiomyopathy,KW-0225~Disease variant,KW-0898~Cataract,KW-1060~Myofibrillar myopathy,		KW-0479~Metal-binding,KW-0862~Zinc,	KW-0143~Chaperone,KW-0273~Eye lens protein,	KW-0007~Acetylation,KW-0325~Glycoprotein,KW-0558~Oxidation,KW-0597~Phosphoprotein,	CARBOHYD:O-linked (GlcNAc) threonine,COMPBIAS:Basic and acidic residues,DOMAIN:Alpha-crystallin N-terminal,DOMAIN:SHSP,DOMAIN:sHSP,REGION:Disordered,SITE:Susceptible to oxidation,
CRYBG3	crystallin beta-gamma domain containing 3(CRYBG3)	Homo sapiens			GO:0002088~lens development in camera-type eye,GO:0007601~visual perception,	GO:0032991~macromolecular complex,	GO:0005212~structural constituent of eye lens,GO:0030246~carbohydrate binding,GO:0051018~protein kinase A binding,	IPR000772:Ricin B lectin domain,IPR001064:Beta/gamma crystallin,IPR011024:Gamma-crystallin-related,				SM00247:XTALbg,SM00458:RICIN,				KW-0677~Repeat,	KW-0430~Lectin,		KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Beta/gamma crystallin 'Greek key',DOMAIN:Beta/gamma crystallin 'Greek key' 1,DOMAIN:Beta/gamma crystallin 'Greek key' 2,DOMAIN:Beta/gamma crystallin 'Greek key' 3,DOMAIN:Beta/gamma crystallin 'Greek key' 4,DOMAIN:Beta/gamma crystallin 'Greek key' 5,DOMAIN:Beta/gamma crystallin 'Greek key' 6,DOMAIN:Beta/gamma crystallin 'Greek key' 7,DOMAIN:Beta/gamma crystallin 'Greek key' 8,DOMAIN:Beta/gamma crystallin 'Greek key' 9,DOMAIN:Ricin B-type lectin,REGION:Disordered,REGION:RII-binding helix,
